SKU,Barcode,Location,Bag,Description,
COMPUTER138nzsale,A00001,LA00001,9,DP to VGA 1.8M cable,
computer118,A00002,LA00002,9,D/P MALE TO DVI ADPT 24+5,
computer120,A00003,LA00003,9,D/P MALE TO VGA ADPT,
computer192,A00004,LA00004,9,HDMI FEMALE TO DVI MALE 24+5 ADPT,
others094,A00005,LA00005,9,HDMI MALE TO DVI FEMALE ADPT 24+1,
AAA,A00006,LA00006,9,D/P MALE TO MINI D/P FEMALE ADPT,
computer193,A00007,LA00007,9,HDMI MALE TO DVI FEMALE ADPT 24+5,
AAA,A00008,LA00008,9,HDMI FEMALE TO DVI MALE ADPT 18+1,
computer121,A00009,LA00009,9,MINI HDMI MALE TO HDMI FEMALE ADPT,
AAA,A00010,LA00010,9,MINI D/P TO D/P ADPT CAB BLACK,
AAA,A00010W,LA00010W,9,MINI D/P TO D/P ADPT CAB WHITE,
computer022nzsale,A00011,LA00011,9,IPAD 1/2/3 TO HDMI ADPT CAB,
computer023,A00012,LA00012,9,IPAD 1/2/3 TO VGA ADPT CAB,
computer024,A00013,LA00013,9,IPAD 1/2/3 TO DVI ADPT CAB,
computer199nzsale,A00014,LA00014,9,HDMI FEMALE TO DVI MALE 24+1,
AAA,A00015,LA00015,9,,
AAA,A00016,LA00016,9,,
computer119nzsale,A00017,LA00017,9,D/P MALE TO HDMI FEMALE,
Computerother013nzsale,A00018,LA00018,9,MINI D/P MALE TO HDMI FEMALE,
computer190nzsale,A00019,LA00019,9,D/P MALE TO HDMI FEMALE ADPT CAB,
computer187,A00020,LA00020,9,D/P MALE  TO VGA FEMALE ADPT CAB,
CABLE059nzsale,A00021,LA00021,9,HDMI MALE TO VGA FEMALE ADPT CAB,
AAA,A00022,LA00022,9,MICRO HDMI MALE TO VGA FEMALE ADPT CAB,
AAA,A00023,LA00023,9,MINI HDMI MALE TO VGA FEMALE ADPT CAB,
computer222,A00024,LA00024,9,MINI DVI MALE TO DVI FEMALE ADPT CAB 24+1,
computer223,A00025,LA00025,9,MINI DVI MALE TO VGA FEAMLE ADPT CAB,
computer145,A00026,LA00026,9,MINI DVI MALE TO HDMI FEAMLE ADPT CAB,
computer141,A00027,LA00027,9,MINI DP TO DVI 1.8M,
computer139nzsale,A00028,LA00028,7,D/P MALE TO HDMI MALE CAB 1.8M,
computer140,A00029,LA00029,7,D/P MALE TO DVI MALE CAB 1.8M 24+1,
computer224,A00030,LA00030,7,D/P MALE TO D/P MALE Cable 1.8m,
computer021nzsale,A00031,LA00031,7,MINI D/P MALE TO HDMI MALE CAB 3.0M,
computer002nzsale,A00032,LA00032,9,MINI D/P MALE TO HDMI MALE CAB 1.8M,
computer001nzsale,A00033,LA00033,9,MINI D/P MALE TO HDMI FEAMLE ADPT CAB,
computer188nzsale,A00034,LA00034,9,MINI D/P MALE TO VGA FEMALE ADPT CAB,
computer197nzsale,A00035,LA00035,9,MINI D/P MALE TO DVI FEAMLE ADPT CAB 24+5,
168NZ054nzsale,A00036,LA00036,9,MINI D/P MALE TO MINI D/P MALE CAB,
AAA,A00037,LA00037,9,USB MALE TO FEMALE  EXT CAB,
PHONEACC0087nzsale,A00038,LA00038,9,,
CABLE085nzsale,A00039,LA00039,9,IPHONE 4 FEMALE TO IPHONE 5 MALE CAB,
AAA,A00040,LA00040,9,IPHONE 4 MALE TO IPAD 1/2/3 MALE CAB,
mobilephone275,A00041,LA00041,9,MICRO USB FEMALE TO IPHONE 5 ADPT,
AAA,A00042,LA00042,9,KODAK 8 PIN TO AV CAB,
AAA,A00043,LA00043,9,KOADK 5 PIN TO USB CAB,
AAA,A00044,LA00044,9,KODAK 4 PIN TO USB CAB,
TABACC030,A00045,LA00045,9,IPOD SHUFFLE 2 CAB,
TABACC028,A00046,LA00046,9,IPod shuffle 4th Cable,
mobilephone256,A00047,LA00047,9,IPHONE 3.5 TO 30 PIN MALE CAB,
mobilephone270,a00048,La00048,9,SAMSUNG P1000 USB CAB white,
AAA,a00048b,La00048b,9,p1000 comp cable black,
CameraACC006nzsale,A00049,LA00049,9,SONY MP3 USB CAB,
AAA,A00050,LA00050,9,SONY MD2 AV CAB,
AAA,A00051,LA00051,9,SONY MD3 AV CAB,
AAA,A00052,LA00052,9,FUJI 14 PIN USB CAB,
AAA,A00053,LA00053,9,FUJI 4 PIN USB CAB,
AAA,A00054,LA00054,9,FUJI 5 PIN USB CAB,
computer225nzsale,A00055,LA00055,9,IPHONE 4 OTG CAB,
mobilephone273nzsale,A00056,LA00056,9,IPHONE 5 OTG CAB,
computer124,A00057,LA00057,9,MINI OPTICAL FIBRE CAB 1.0M,
computer125,A00058,LA00058,9,MINI OPTICAL FIBRE CAB 2.0M,
mobilephone264,A00059,LA00059,9,MICRO USB CAB 2.0M BK,
AAA,A00060,LA00060,9,MICRO USB CAB 2.0M WT,
PhoneACC0015nzsale,A00061,LA00061,9,MICRO USB CAB 1.0M BK,
PhoneACC0015nzsale,A00062,LA00062,9,MICRO USB CAB 1.0M WT,
AAA,A00063,LA00063,9,x,
P1000 OTG,A00064,LA00064,9,SAMSUNG P1000 OTG CAB,
168NZ038,A00065,LA00065,9,SAMSUNG MP3 CAB,
PhoneACC0034,A00066,LA00066,9,Iph 30pin Male - Female cable,
computer142,A00067,LA00067,9,micro usb 3M cable,
camera002,A00068,LA00068,9,SAMSUNG C7 USB CAB,
AAA,A00069,LA00069,9,SAMSUNG C7 AV CAB,
AAA,A00070,LA00070,9,SAMSUNG C6 USB CAB,
AAA,A00071,LA00071,9,SAMSUNG C6 AV CAB,
computer191,A00072,LA00072,9,USB 2.0 SOUND CARD,
mobilephone242nzsale,A00073,LA00073,9,SAMSUNG NOTE 3 OTG CAB,
mobilephone009,A00074,LA00074,9,SAMSUNG NOTE 3 USB CAB,
AAA,A00075,LA00075,9,SAMSUNG MICRO USB CAB,
AAA,A00076,LA00076,9,V3 USB CABLE,
mobilephone263,A00078,LA00078,9,IPHONE 5 USB CAB 3.0M BK,
AAA,A00079,LA00079,9,IPHONE 5 USB CAB 3.0M WT,
GREATDEAL028,A00080,LA00080,9,IPHONE 5 USB CAB 1.0M BK,
GREATDEAL010nzsale,A00081,LA00081,9,IPHONE 5 USB CAB 1.0M WT,
PhoneACC0009nzsale,A00082,LA00082,9,IPHONE 5 USB CAB 2.0M BK,
